025-12-17 22:41:33,935 - Unified_LHC_Framework - INFO - Сценарий: Демонстрация унифицированного фреймворка
2025-12-17 22:41:33,937 - Unified_LHC_Framework - INFO - Создан файл конфигурации по умолчанию: lhc_config.yaml
2025-12-17 22:41:33,938 - Unified_LHC_Framework - INFO - Используется конфигурация по умолчанию.
2025-12-17 22:41:33,938 - Unified_LHC_Framework - INFO - Загрузка данных PDF...
2025-12-17 22:41:33,938 - Unified_LHC_Framework - INFO - Встроенный физический движок инициализирован.
2025-12-17 22:41:33,938 - Unified_LHC_Framework - INFO - Запуск симуляции на 20 оборотов.
2025-12-17 22:42:57,670 - Unified_LHC_Framework - INFO - Сценарий: Демонстрация унифицированного фреймворка
2025-12-17 22:42:57,670 - Unified_LHC_Framework - INFO - Используется конфигурация по умолчанию.
2025-12-17 22:42:57,670 - Unified_LHC_Framework - INFO - Загрузка данных PDF...
2025-12-17 22:42:57,670 - Unified_LHC_Framework - INFO - Встроенный физический движок инициализирован.
2025-12-17 22:42:57,670 - Unified_LHC_Framework - INFO - Запуск симуляции на 20 оборотов.
2025-12-17 22:42:57,671 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:42:57,671 - Unified_LHC_Framework - INFO - Запуск топологического анализа событий...
2025-12-17 22:42:57,671 - Unified_LHC_Framework - WARNING - Нет событий для топологического анализа.
2025-12-17 22:42:57,671 - Unified_LHC_Framework - INFO - Запуск калибровки модели...
2025-12-17 22:43:17,759 - Unified_LHC_Framework - INFO - Сценарий: Демонстрация унифицированного фреймворка
2025-12-17 22:43:17,759 - Unified_LHC_Framework - INFO - Используется конфигурация по умолчанию.
2025-12-17 22:43:17,759 - Unified_LHC_Framework - INFO - Загрузка данных PDF...
2025-12-17 22:43:17,759 - Unified_LHC_Framework - INFO - Встроенный физический движок инициализирован.
2025-12-17 22:43:17,759 - Unified_LHC_Framework - INFO - Запуск симуляции на 20 оборотов.
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Запуск топологического анализа событий...
2025-12-17 22:43:17,760 - Unified_LHC_Framework - WARNING - Нет событий для топологического анализа.
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Запуск калибровки модели...
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Запуск оптимизации методом L-BFGS-B...
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,760 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,761 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,761 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,762 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,762 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,763 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,764 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,765 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,766 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,767 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Симуляция завершена.
2025-12-17 22:43:17,768 - Unified_LHC_Framework - INFO - Запуск симуляции на 10 оборотов.
